Andhra Pradesh,Hyderabad,"['A city of contrasts, Hyderabad exudes an old-world charm of its own with the Old City (Charminar side), Hitech City (Cyberabad) and the other areas lying between the old and the new. The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined parallelly alongside swanky new office buildings and malls, and it is these very contrasts – these glimpses into the city’s rich past with inherent promises of an even better future –that make Hyderabad a city worth visiting. Maybe even more than once.', ""The city of pearls and biryani, Hyderabad is home to one of the most iconic landmarks - the Charminar. Translating to 'four minarets', the grand edifice is built entirely out of limestone and granite, with four minarets on four sides, each of them facing a different street. The Charminar stands in a labyrinth of lanes crammed with shops, markets, stalls and shoppers - one of the best places to shop for the authentic pearls and relish the tasty biryanis, skewer kebabs and haleem (the smorgasbord of food that Hyderabad is known for)."", 'The other side of Hyderabad - HiTech City or Cyberabad - is a stark contrast to the Old City. The area teems with grand malls, pulsating clubs, sleek restaurants and hi-rise buildings of the every-growing multinationals. Between the old and new lie the popular city areas of Banjara Hills and Jubilee Hills flanked on the northeast by Secunderabad. Hyderabad and Secunderabad together are still referred to as the ""twin cities"", though they are practically one now.', 'Hyderabad pulsates with a spectacular mix of people and traditions. Make a journey through this mind-stirring metropolis and be ready to be amazed, frustrated, confounded and thrilled, all at once!']","['Ramoji Film City', 'Charminar', 'Golconda Fort', 'Hussain Sagar Lake']",4.1/5,"['Weather: 30° C', 'Ideal duration: 2-4 days', 'Best Time: Sep-Mar']"
Arunachal Pradesh ,Ziro,"[""The cradle to a unique tribal group and a balmy climate, Ziro is the peace seeker's paradise. Ziro is a quaint old town in Arunachal Pradesh, home to the Apa Tani tribe and famous for its pine hills and rice fields."", 'Ziro is a quaint old town in Arunachal Pradesh, home to the Apa Tani tribe and famous for its pine hills and rice fields. The climate in Ziro is mild through the year, making it comfortable to travel all year round.']","['Tarin Fish Farm - Paddy cultivation', 'Kile Pakho', 'Talley Valley Wildlife Sanctuary', 'Dolo Mando - Trekking']",4.5/5,"['Weather: 20° C', 'Ideal duration: 2 days', 'Best Time: Throughout the year']"
Assam ,Majuli,"[""Majuli is a lush green environment-friendly, a pristine and pollution-free freshwater island in the river Brahmaputra, just 20 km from the Jorhat city and located 347 Kms from Guwahati. With a total area of 1250 sq. km, Majuli is the world's largest river island and it attracts tourists from all over the world. Among one of the most surreal places in India, Majuli is also a strong contender for a place in UNESCO's World Heritage Sites. Mostly inhabited by Tribals, the culture of Majuli is unique and quite interesting and is one of the key reasons why people love this place so much. It is also called the cultural capital of Assam. The festivals celebrated here are all joyous and vibrant. The main festival in the town of Majuli is called Raas and it is an exciting and interesting spectacle.""]","['Kamalabari Satra', 'Dakhinpat Satra', 'Garmur', 'Tengapania']",4.7/5,"['Weather: 27° C', 'Ideal duration: 1-2 days', 'Best Time: Jul-Mar']"
Bihar ,Bodh Gaya,"['Bodh Gaya is a Buddhist pilgrimage site in Gaya District of Bihar. Famous for the Mahabodhi Temple, It was here under the Bodhi tree that Gautama Buddha attained enlightenment.', 'Bodh Gaya is a Buddhist pilgrimage site in Gaya District of Bihar. Famous for the Mahabodhi Temple, It was here under the Bodhi tree that Gautama Buddha attained enlightenment.', 'Located near the river Neranjana, Bodh Gaya was earlier known as Uruwela. It was also known as Sambodhi, Vajrasana or Mahabodhi until the 18th century CE. It is one of the four important Buddhist sites that include: Kushinagar, Lumbini and Sarnath.']","['Mahabodhi Temple', 'Great Buddha Statue', 'Tibetan Refugee Market', 'Bodhi Tree, Bodh Gaya']",4.4/5,"['Weather: 29° C', 'Ideal duration: 1-3 days', 'Best Time: Oct-Mar']"
Chattisgarh ,Dantewada,"['Dantewada recently came into being, in 1998, after the formation of Chattisgarh from Madhya Pradesh. Situated in the Bastar district, the quaint little town of Dantewada offers a panoramic landscape view of gushing rivers, sparkling waterfalls, mighty hill peaks and lush green meadows.', 'Historically, the town was named after the deity Danteshwari, an incarnate of Shakti, who later came to preside the Danteshwar temple. Dantewada was known as Tarlapal and Dantawali in pre-historical days. The town also houses recently developed stretch of Rowghat mines. However, currently, the area is affected by Naxalism and a well-versed research is advisable before heading out in the area.', 'Dantewada offers you all natural elements from hills mountains to rivers and hence creating complete sceneries. It also houses recently developed stretch of Rowghat mines. However, this area is affected by Naxalism and it is advisable to research properly about the recent events before heading out to Dantewada.']","['Danteshwari Temple', 'Mama-Bhanjaa Temple', 'Indravati National Park', 'Bodhghat Sath Dhar']",4.0/5,"['Weather: 24° C', 'Ideal duration: 1 day', 'Best Time: Oct-Mar']"
Goa,Calangute,"[""Lying on the western coast, Goa is India's smallest state and unlike any other, known for its endless beaches, stellar nightlife, eclectic seafood, world-heritage listed architecture. Spread across just 3,702 km, Goa lies in the Konkan region. It is a far cry from the hippie haven or a beach getaway, and one of the only few destinations that is open 24x7. The laid-backness (susegad) of Goa attracts as many international tourists as it does Indians, or even more so."", 'The Goans are quite friendly towards tourists and celebrate many festivals throughout the year, the most famous being the New Year and Goa Carnival. While the seafood is excellent, Goa has one of the best nightlife in India with trendy bars, beach shacks, elegant cafes and many clubs and discotheques. Thanks to lower alcohol prices in the state, Goa is also great for younger tourists with relatively tighter pockets.', 'For those of us perpetually confused between North Goa and South Goa, this might help - the state of Goa is divided into North Goa and South Goa. While North Goa is the nightlife hub where all the touristy beaches, flea markets, and beach shacks are located, South Goa is the land of luxurious resorts and laid-back beach vibes.', 'Having been a Portuguese territory for almost 450 years, the Portuguese architecture is nowhere as prevalent as in Goa - visit one of the many whitewashed churches, crumbling forts or spectacular churches. The yellow houses with purple doors, ochre coloured mansions and oyester shell windows is what completes the kalieodscope of Goan architecture.', 'Panjim, the capital city located in the centre overlooks the calm Mandovi River where the famous floating casinos of Goa are docked. The centre is well-connected with an international airport and roads and trains run from North to South part of Goa. With a coastline stretching for over 100 kilometres, Goa has stunning beaches. While Baga and Calangute are more popular among the Indian family crowd, Anjuna and Arambol draw a lot of foreign tourists. The beaches in South Goa are relatively lesser explored, but some of them like Agonda and Palolem are more beautiful.']","['Fort Aguada', 'Cruise in Goa', 'Water Sports in Goa', 'Old Goa']",4.5/5,"['Weather: 27° C', 'Ideal duration: 3-7 days', 'Best Time: November - February']"
Gujarat ,Kutch,"['Virtually an island that resembles the shape of a tortoise, Kutch is an erstwhile princely state of India holding onto its grandeur nature from the past. Kutch is probably one of the most beautiful, yet surreal places in India with the vast expanses of the white salt desert.  The place comes to life during the winters when the Rann Festival is held during December-February everywhere in which there are huge camp settlements with cultural programs, functions and adventure activities like hot-air ballooning. ', ""Kutch is also among the largest district of India with a terribly low population density. Also, Kutch lies on the India-Pakistan border and you can see parts of Pakistan from Kutch. Kutch is also famous for crafts and embroidery works, Flamingo Sanctuary and Wild Ass Sanctuary. Bhuj is an ideal starting point to visit the Rann of Kutch. Beautiful beaches of Mandvi near Bhuj are also totally worth visiting during your trip to Kutch. Don't miss to see the ancient town of Dholavira."", 'Must visit Gujrat.']","['Kutch Desert Wildlife Sanctuary', 'Dholavira', 'Kutch Museum', 'Kutch Bustard Sanctuary']",4.4/5,"['Weather: 32° C', 'Ideal duration: 2-3 days', 'Best Time: Jul-Mar']"
Haryana,Damdama Lake,"[""Damdama Lake is a beautiful lake 24 km south of Gurugram, off the Gurugram-Alwar road. It is around 64 km i.e. an hour's drive away from New Delhi and has a calm and peaceful vibe about it. The lake was commissioned by the British in 1947 for rainwater harvesting. In its current form, however, what makes Damdama Lake enticing is that it is home to over 190 species of native and migratory birds. In monsoons, water levels reach as high as fifty feet and this is when most of the migratory birds are spotted. Damdama Lake is the biggest lake in Haryana and stretches to almost three thousand acres. It is a popular place for picnics as well as for on-site training for corporate team-building exercises."", 'Surrounded by the rocky Aravalli hills and an uneven but exciting topography, this scenic lake is a perfect getaway for people in and around New Delhi, Delhi, and Gurgaon. Damdama Lake also has many resorts that offer adventure sports and paddle boating on the lake. Rock Climbing enthusiasts may indulge and try out their skills at the Aravalli Hills with difficult terrain. The water level of the lake has an average height of twenty meters but soars up to fifty meters during monsoons and covers a vast area of more than three thousand acres.']","['Cyber Hub', 'Manesar', 'Pataudi Palace', 'Sultanpur Bird Sanctuary']",4.0/5,"['Weather : 27° C', 'Timings : 9:30 AM - 6:00 PM', 'Time Required : 4-5 hours', 'Entry Fee : No Entry Fee. Packages starting from INR 700 available at nearby resorts.']"
Himachal Pradesh ,Mcleodganj,"[""Mcleodganj is a hill station near Dharamshala, popular among trekkers. Located in Kangra district, Mcleodganj's culture is a beautiful blend of Tibetan with some British influence."", 'Also known as Little Lhasa and famous around the world for being home to the Tibetan spiritual leader Dalai Lama, Mcleod Ganj is a beautiful town situated near upper Dharamsala. Nestled amidst majestic hills and lush greenery, this town is culturally blessed by a prominent Tibetan influence owing to the major settlement of Tibetans here. Mcleodganj has one of the most mesmerising landscapes in the entire state of Himachal Pradesh and attracts a lot of tourists throughout the year. The towns of Dharamsala, Mcleodganj, Bhagsu Nag and Kangra are situated very close to each other and tourists must cover all these destinations while travelling here. Few of the most eminent and religiously significant monasteries in India are located here, including the Namgyal Monastery and Tsuglagkhang, where the spiritual leader Dalai Lama resides. Tourists must also visit the scenic Dal Lake and Triund, which are apt for quiet picnics.']","['Bhagsu Falls', 'Namgyal Monastery', 'Bhagsunag Temple', 'Tibetan Museum']",4.4/5,"['Weather: 18° C', 'Ideal duration: 2-3 days', 'Best Time: October - June']"
Jharkhand,Betla National Park,"['Betla National Park is a beautiful national park which is spread over the hilly terrain of the attractive Palamau district, west of Ranchi In Jharkhand. Wild elephants wander without restraints in the thickets of the forest and the flora and fauna are enough to mesmerize any visitor. Though there are relatively fewer tigers here, a visit to this ancient area of Jharkhand will be worth it because it provides a deeper insight into the rich tribal heritage of the state. Betla stands as an acronym for Bison, Elephant, Tiger, Leopard and Axis. What makes this park stand out from the rest is the presence of two forts inside its premises. The primary attractions here is observing wildlife from a close range. ', 'One of the most popular national parks of the North East, the park stretches over an area of around 979 sq. km, out of which 232 sq. km forms the main area and has the status of being one of the first 9 tiger reserves that were established in India. Due to a diversified ecosystem, the Betla National Park is home to a huge variety of wildlife. The park houses luxuriant sal and bamboo trees. The Southern side of the forest is dominated by Sal trees whereas the Bel Aegle marmelos dominate the northern part of the forest reserve. The surging terrains of the park are marked by small hills like the Netarhat, Huluk, Murhu and Gulgul. Several waterfalls and hot water springs found inside the park make it an interesting place to explore.']","['Upper Ghaghri Waterfalls', 'Lower Ghaghri Waterfalls', 'Magnolia Point', 'Pine forest, Netarhat']",4.0/5,"['Weather : 21° C', 'Timings : 5:00 AM - 7:00 PM', 'Time Required : 1 day', '']"
